medinc,GEOID
53828,06037132501
59917,06037132502
68553,06037132700
80202,06037132900
67782,06037133000
51417,06037133100
57061,06037134001
53594,06037134002
66360,06037134101
76250,06037134103
57355,06037134104
90528,06037134201
95833,06037134302
88526,06037134303
73152,06037134304
40000,06037134305
73516,06037134306
131250,06037134421
108929,06037134422
100427,06037134423
141875,06037134424
41894,06037134520
51932,06037134521
37003,06037134522
43708,06037134710
63510,06037134720
80109,06037134800
68382,06037134901
63185,06037134903
44774,06037134904
79985,06037134905
127721,06037135102
100911,06037135111
75833,06037135113
60101,06037135114
107407,06037135201
108500,06037135202
115519,06037135203
115402,06037137000
76906,06037137103
103799,06037137104
75988,06037137201
152188,06037137301
134971,06037137302
109821,06037137401
100781,06037137402
85089,06037137501
99836,06037137502
158500,06037137504
128026,06037138000
80156,06037139001
67420,06037139200
105192,06037139301
51157,06037139302
53297,06037139303
63048,06037139401
128529,06037139402
69048,06037139502
56479,06037139503
56082,06037139504
79023,06037139600
144337,06037139701
202471,06037139702
123750,06037139703
137917,06037139801
144031,06037139802
63047,06037141101
95391,06037141102
67321,06037141201
75403,06037141202
88289,06037141302
72847,06037141303
84286,06037141304
96744,06037141400
214313,06037141500
195071,06037141600
205188,06037141700
97727,06037143100
74063,06037143200
87125,06037143300
106920,06037143400
91563,06037143500
84336,06037143602
77667,06037143603
63275,06037143604
106818,06037143700
132366,06037143800
208438,06037143901
120781,06037143902
117409,06037181000
107371,06037181300
57382,06037181400
108269,06037181500
74205,06037181600
57893,06037183101
59076,06037183103
76034,06037183104
56710,06037183220
62011,06037183221
70089,06037183222
73765,06037183300
59211,06037183401
60972,06037183402
70357,06037183510
44276,06037183520
56563,06037183610
56597,06037183620
49386,06037183701
54602,06037183702
47350,06037183810
37857,06037183820
101103,06037185100
63545,06037185202
48796,06037185203
85625,06037185204
58194,06037185310
45600,06037185320
92738,06037186100
62125,06037186201
84375,06037186202
108011,06037186203
45769,06037186301
74244,06037186302
40282,06037186401
55625,06037186403
57574,06037186404
79898,06037187101
53333,06037187102
67125,06037187200
94710,06037187300
59306,06037188100
79292,06037188201
110442,06037188202
99375,06037188300
65451,06037189101
85331,06037189102
40048,06037189201
115291,06037189202
174943,06037189300
159609,06037189400
52976,06037189500
70109,06037189600
91451,06037189701
84583,06037189702
67872,06037189800
56378,06037189902
53973,06037189903
48293,06037189904
68393,06037189905
52097,06037190100
29706,06037190201
38250,06037190202
48924,06037190301
44235,06037190401
34138,06037190402
41736,06037190510
35938,06037190520
37300,06037190700
25997,06037190801
39564,06037190802
32212,06037190901
35787,06037190902
54021,06037191000
36667,06037191110
38204,06037191120
45772,06037191201
26167,06037191203
39769,06037191204
44750,06037191301
44306,06037191302
31822,06037191410
62073,06037191420
47500,06037191500
44781,06037191610
28229,06037191620
28464,06037191710
27083,06037191720
47344,06037191810
64167,06037191820
53173,06037191901
90221,06037191902
65250,06037192001
106271,06037192002
100938,06037192300
74118,06037192410
59046,06037192420
48218,06037192510
43531,06037192520
36116,06037192610
36722,06037192620
47331,06037192700
83180,06037194101
126799,06037194102
137546,06037194200
191563,06037194300
84167,06037194401
98333,06037194402
109167,06037194500
124536,06037195100
80833,06037195201
106316,06037195202
68819,06037195300
89668,06037195400
89830,06037195500
70870,06037195600
44911,06037195710
45733,06037195720
58981,06037195802
68125,06037195803
67829,06037195804
59063,06037195901
68036,06037195902
52833,06037195903
54417,06037197200
81778,06037197300
102631,06037197410
60648,06037197420
64109,06037197500
65865,06037197600
44719,06037197700
54572,06037199000
60430,06037199110
35776,06037199120
34211,06037199201
56875,06037199202
65417,06037199300
47031,06037199400
36442,06037199700
35977,06037199800
36403,06037199900
56500,06037201110
50060,06037201120
44340,06037201200
46250,06037201301
80000,06037201302
43681,06037201401
56698,06037201402
54000,06037201501
40231,06037201503
51927,06037201504
60870,06037201601
59853,06037201602
58717,06037201700
29299,06037203100
46699,06037203200
34632,06037203300
37708,06037203500
50612,06037203600
40640,06037203710
35106,06037203720
43234,06037203800
49712,06037203900
46875,06037204110
46964,06037204120
32378,06037204200
37174,06037204300
41932,06037204410
27865,06037204420
31042,06037204600
55766,06037204700
44864,06037204810
39907,06037204820
37143,06037204910
40273,06037204920
44468,06037205110
29505,06037205120
38734,06037206010
89333,06037206020
90590,06037206031
35706,06037206032
23007,06037206050
21250,06037206200
10294,06037206300
38843,06037207101
26327,06037207102
27292,06037207103
52581,06037207301
39809,06037207302
NA,06037207400
64206,06037207501
19380,06037207502
90667,06037207710
88800,06037207900
34914,06037208000
45000,06037208301
32153,06037208302
28720,06037208401
41974,06037208402
56838,06037208501
37149,06037208502
46797,06037208610
39865,06037208620
59429,06037208710
26463,06037208720
32567,06037208801
32784,06037208802
34911,06037208902
28299,06037208903
26588,06037208904
26559,06037209102
26026,06037209103
24455,06037209104
46393,06037209200
27972,06037209300
24854,06037209401
31037,06037209402
22922,06037209403
27740,06037209510
